YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,FLT_DEP_IFR_2,FLT_ARR_IFR_2,FLT_TOT_IFR_2
2026,01,JAN,2026-01-01,LATI,Tirana,Albania,67,70,137,,,
2026,01,JAN,2026-01-01,UDYZ,Yerevan,Armenia,54,55,109,,,
2026,01,JAN,2026-01-01,LOWG,Graz,Austria,7,6,13,,,
2026,01,JAN,2026-01-01,LOWI,Innsbruck,Austria,21,23,44,,,
2026,01,JAN,2026-01-01,LOWK,Klagenfurt,Austria,5,2,7,,,
2026,01,JAN,2026-01-01,LOWL,Linz,Austria,4,5,9,,,
2026,01,JAN,2026-01-01,LOWS,Salzburg,Austria,25,25,50,,,
2026,01,JAN,2026-01-01,LOWW,Vienna,Austria,279,255,534,279,254,533
2026,01,JAN,2026-01-01,EBAW,Antwerp,Belgium,5,5,10,,,
2026,01,JAN,2026-01-01,EBBR,Brussels,Belgium,224,211,435,224,211,435
2026,01,JAN,2026-01-01,EBCI,Brussels - Charleroi,Belgium,104,103,207,104,103,207
2026,01,JAN,2026-01-01,EBLG,Liège,Belgium,21,21,42,,,
2026,01,JAN,2026-01-01,EBOS,Ostend-Bruges,Belgium,7,5,12,,,
2026,01,JAN,2026-01-01,LQSA,Sarajevo,Bosnia and Herzegovina,18,20,38,,,
2026,01,JAN,2026-01-01,LBSF,Sofia,Bulgaria,66,69,135,65,69,134
2026,01,JAN,2026-01-01,LDZA,Zagreb,Croatia,56,54,110,56,54,110
2026,01,JAN,2026-01-01,LCLK,Larnaca,Cyprus,67,65,132,,,
2026,01,JAN,2026-01-01,LCPH,Paphos,Cyprus,28,28,56,,,
2026,01,JAN,2026-01-01,LKMT,Ostrava,Czech Republic,1,2,3,,,
2026,01,JAN,2026-01-01,LKPR,Prague,Czech Republic,160,162,322,161,321,482
2026,01,JAN,2026-01-01,LKTB,Brno-Tuřany,Czech Republic,3,3,6,,,
2026,01,JAN,2026-01-01,EKCH,Copenhagen - Kastrup,Denmark,278,272,550,277,272,549
2026,01,JAN,2026-01-01,EETN,Tallinn,Estonia,38,43,81,38,43,81
2026,01,JAN,2026-01-01,EETU,Tartu,Estonia,3,3,6,,,
2026,01,JAN,2026-01-01,EFHK,Helsinki - Vantaa,Finland,199,196,395,199,196,395
2026,01,JAN,2026-01-01,LFBD,Bordeaux-Mérignac,France,62,65,127,,,
2026,01,JAN,2026-01-01,LFBH,La Rochelle-Ile de Ré,France,1,2,3,,,
2026,01,JAN,2026-01-01,LFBI,Poitiers-Biard,France,0,1,1,,,
2026,01,JAN,2026-01-01,LFBL,Limoges-Bellegarde,France,3,4,7,,,
2026,01,JAN,2026-01-01,LFBO,Toulouse-Blagnac,France,73,74,147,73,74,147
2026,01,JAN,2026-01-01,LFBP,Pau-Pyrénées,France,5,7,12,,,
2026,01,JAN,2026-01-01,LFBT,Tarbes-Lourdes Pyrénées,France,6,6,12,,,
2026,01,JAN,2026-01-01,LFBZ,Biarritz-Bayonne-Anglet,France,7,8,15,,,
2026,01,JAN,2026-01-01,LFCR,Rodez-Marcillac,France,3,3,6,,,
2026,01,JAN,2026-01-01,LFGJ,Dôle-Tavaux,France,1,1,2,,,
2026,01,JAN,2026-01-01,LFJL,Metz-Nancy-Lorraine,France,1,1,2,,,
2026,01,JAN,2026-01-01,LFKB,Bastia-Poretta,France,16,16,32,,,
2026,01,JAN,2026-01-01,LFKC,Calvi-Sainte-Catherine,France,4,4,8,,,
2026,01,JAN,2026-01-01,LFKF,Figari-Sud Corse,France,4,4,8,,,
2026,01,JAN,2026-01-01,LFKJ,Ajaccio-Napoléon-Bonaparte,France,14,14,28,,,
2026,01,JAN,2026-01-01,LFLB,Chambéry-Aix-les-Bains,France,5,6,11,,,
2026,01,JAN,2026-01-01,LFLC,Clermont-Ferrand-Auvergne,France,4,5,9,,,
2026,01,JAN,2026-01-01,LFLI,Annemasse,France,0,1,1,,,
2026,01,JAN,2026-01-01,LFLL,Lyon-Saint-Exupéry,France,101,104,205,102,104,206
2026,01,JAN,2026-01-01,LFLP,Annecy-Meythet,France,1,1,2,,,
2026,01,JAN,2026-01-01,LFLS,Grenoble-Isère,France,3,3,6,,,
2026,01,JAN,2026-01-01,LFLX,Châteauroux-Déols,France,0,0,0,,,
2026,01,JAN,2026-01-01,LFLY,Lyon-Bron,France,1,1,2,,,
2026,01,JAN,2026-01-01,LFMD,Cannes-Mandelieu,France,6,5,11,,,
2026,01,JAN,2026-01-01,LFMH,Saint-Etienne-Bouthéon,France,0,0,0,,,
