YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2023,01,JAN,2023-01-01,EBAW,Antwerp,Belgium,9,,,1,0
2023,01,JAN,2023-01-01,EBBR,Brussels,Belgium,183,,,132,60
2023,01,JAN,2023-01-01,EBCI,Brussels - Charleroi,Belgium,50,,,45,0
2023,01,JAN,2023-01-01,EBLG,Liège,Belgium,17,,,1,0
2023,01,JAN,2023-01-01,EBOS,Ostend-Bruges,Belgium,10,,,4,0
2023,01,JAN,2023-01-01,EDDB,Berlin - Brandenburg,Germany,180,,,133,32
2023,01,JAN,2023-01-01,EDDC,Dresden,Germany,7,,,5,0
2023,01,JAN,2023-01-01,EDDE,Erfurt,Germany,1,,,,
2023,01,JAN,2023-01-01,EDDF,Frankfurt,Germany,422,,,290,112
2023,01,JAN,2023-01-01,EDDG,Muenster-Osnabrueck,Germany,4,,,2,0
2023,01,JAN,2023-01-01,EDDH,Hamburg,Germany,104,,,89,39
2023,01,JAN,2023-01-01,EDDK,Cologne-Bonn,Germany,70,,,56,16
2023,01,JAN,2023-01-01,EDDL,Dusseldorf,Germany,141,,,115,25
2023,01,JAN,2023-01-01,EDDM,Munich,Germany,317,,,247,11
2023,01,JAN,2023-01-01,EDDN,Nuremberg,Germany,30,,,20,15
2023,01,JAN,2023-01-01,EDDP,Leipzig-Halle,Germany,64,,,10,0
2023,01,JAN,2023-01-01,EDDR,Saarbruecken,Germany,1,,,1,0
2023,01,JAN,2023-01-01,EDDS,Stuttgart,Germany,62,,,47,0
2023,01,JAN,2023-01-01,EDDV,Hanover,Germany,27,,,18,6
2023,01,JAN,2023-01-01,EDDW,Bremen,Germany,13,,,12,0
2023,01,JAN,2023-01-01,EETN,Tallinn,Estonia,34,,,27,16
2023,01,JAN,2023-01-01,EFHK,Helsinki - Vantaa,Finland,181,,,170,3
2023,01,JAN,2023-01-01,EGAA,Belfast - Aldergrove,United Kingdom,46,,,43,8
2023,01,JAN,2023-01-01,EGAC,Belfast - City Airport,United Kingdom,38,,,8,0
2023,01,JAN,2023-01-01,EGAE,Londonderry - Eglinton,United Kingdom,2,,,1,0
2023,01,JAN,2023-01-01,EGBB,Birmingham,United Kingdom,72,,,53,16
2023,01,JAN,2023-01-01,EGCC,Manchester,United Kingdom,180,,,144,81
2023,01,JAN,2023-01-01,EGGD,Bristol,United Kingdom,67,,,62,9
2023,01,JAN,2023-01-01,EGGW,London - Luton,United Kingdom,154,,,131,72
2023,01,JAN,2023-01-01,EGHI,Southampton,United Kingdom,10,,,3,0
2023,01,JAN,2023-01-01,EGKB,Biggin Hill,United Kingdom,12,,,,
2023,01,JAN,2023-01-01,EGKK,London - Gatwick,United Kingdom,318,,,251,161
2023,01,JAN,2023-01-01,EGLC,London - City,United Kingdom,32,,,10,0
2023,01,JAN,2023-01-01,EGLF,Farnborough,United Kingdom,14,,,,
2023,01,JAN,2023-01-01,EGLL,London - Heathrow,United Kingdom,532,,,154,318
2023,01,JAN,2023-01-01,EGNT,Newcastle,United Kingdom,28,,,18,37
2023,01,JAN,2023-01-01,EGNX,East Midlands,United Kingdom,25,,,11,0
2023,01,JAN,2023-01-01,EGPD,Aberdeen,United Kingdom,18,,,8,0
2023,01,JAN,2023-01-01,EGPF,Glasgow,United Kingdom,57,,,36,26
2023,01,JAN,2023-01-01,EGPH,Edinburgh,United Kingdom,106,,,85,71
2023,01,JAN,2023-01-01,EGSS,London - Stansted,United Kingdom,218,,,191,76
2023,01,JAN,2023-01-01,EHAM,Amsterdam - Schiphol,Netherlands,513,,,432,449
2023,01,JAN,2023-01-01,EHBK,Maastricht-Aachen,Netherlands,5,,,3,0
2023,01,JAN,2023-01-01,EHRD,Rotterdam,Netherlands,20,,,13,0
2023,01,JAN,2023-01-01,EICK,Cork,Ireland,27,,,26,5
2023,01,JAN,2023-01-01,EIDL,Donegal,Ireland,1,,,,
2023,01,JAN,2023-01-01,EIDW,Dublin,Ireland,292,,,238,194
2023,01,JAN,2023-01-01,EIKN,Connaught,Ireland,8,,,8,13
2023,01,JAN,2023-01-01,EIKY,Kerry - Farranfore,Ireland,5,,,5,0
2023,01,JAN,2023-01-01,EINN,Shannon,Ireland,20,,,14,0
2023,01,JAN,2023-01-01,EKCH,Copenhagen - Kastrup,Denmark,246,,,202,14
2023,01,JAN,2023-01-01,ELLX,Luxembourg,Luxembourg,82,,,60,9
2023,01,JAN,2023-01-01,ENAL,Alesund,Norway,11,,,10,0
2023,01,JAN,2023-01-01,ENAN,Andenes,Norway,3,,,3,0
2023,01,JAN,2023-01-01,ENAT,Alta,Norway,9,,,7,0
2023,01,JAN,2023-01-01,ENBL,Forde Bringeland,Norway,3,,,3,0
2023,01,JAN,2023-01-01,ENBN,Bronnoysund Bronnoy,Norway,6,,,4,0
