YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,FLT_ERT_1,DLY_ERT_1,DLY_ERT_A_1,DLY_ERT_C_1,DLY_ERT_D_1,DLY_ERT_E_1,DLY_ERT_G_1,DLY_ERT_I_1,DLY_ERT_M_1,DLY_ERT_N_1,DLY_ERT_O_1,DLY_ERT_P_1,DLY_ERT_R_1,DLY_ERT_S_1,DLY_ERT_T_1,DLY_ERT_V_1,DLY_ERT_W_1,DLY_ERT_NA_1,FLT_ERT_1_DLY,FLT_ERT_1_DLY_15
2025,1,JAN,2025-01-01T00:00:00Z,Albania,COUNTRY (FIR),734,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Armenia,COUNTRY (FIR),279,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Austria,COUNTRY (FIR),2874,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,BLUE MED FAB,FAB (FIR),5930,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Baltic FAB,FAB (FIR),1599,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Belgium,COUNTRY (FIR),2604,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Bosnia and Herzegovina,COUNTRY (FIR),1126,483,0,10,0,0,0,0,0,0,0,0,0,473,0,0,0,0,55,5
2025,1,JAN,2025-01-01T00:00:00Z,Bulgaria,COUNTRY (FIR),2107,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Croatia,COUNTRY (FIR),1754,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Cyprus,COUNTRY (FIR),960,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Czech Republic,COUNTRY (FIR),1584,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,DANUBE FAB,FAB (FIR),2422,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,DK-SE FAB,FAB (FIR),1597,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Denmark,COUNTRY (FIR),1115,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Estonia,COUNTRY (FIR),347,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,FAB CE,FAB (FIR),5021,483,0,10,0,0,0,0,0,0,0,0,0,473,0,0,0,0,55,5
2025,1,JAN,2025-01-01T00:00:00Z,FAB CE (SES RP1),FAB (FIR),4354,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,FAB CE (SES RP2),FAB (FIR),4996,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,FABEC,FAB (FIR),11921,4348,0,1724,0,0,0,0,0,0,0,378,0,2160,0,86,0,0,425,100
2025,1,JAN,2025-01-01T00:00:00Z,Finland,COUNTRY (FIR),517,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,France,COUNTRY (FIR),7111,4262,0,1724,0,0,0,0,0,0,0,378,0,2160,0,0,0,0,414,99
2025,1,JAN,2025-01-01T00:00:00Z,Georgia,COUNTRY (FIR),646,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Germany,COUNTRY (FIR),5603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,JAN,2025-01-01T00:00:00Z,Greece,COUNTRY (FIR),1803,,,,,,,,,,,,,,,,,,,
2025,1,JAN,2025-01-01T00:00:00Z,Hungary,COUNTRY (FIR),2132,,,,,,,,,,,,,,,,,,,
